"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-03-28",,,"0.18","0.0","0.0","60","31","50",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-03-29",,,"0.47","0.0","0.0","52","33","33",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-03-30",,,"0.00","0.0","0.0","57","32","38",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-03-31",,,"0.00","0.0","0.0","64","38","47",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-01",,,"0.00","0.0","0.0","78","46","59",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-02",,,"0.00","0.0","0.0","81","59","61",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-03",,,"0.00","0.0","0.0","81","60","60",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-04",,,"0.21","0.0","0.0","64","46","50",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-05",,,"0.00","0.0","0.0","77","49","65",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-06",,,"0.01","0.0","0.0","80","64","64",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-07",,,"0.00","0.0","0.0","84","64","67",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-08",,,"1.81","0.0","0.0","70","48","48",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-09",,,"0.01","0.0","0.0","54","36","36",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-10",,,"0.00","0.0","0.0","59","36","43",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-11",,,"0.00","0.0","0.0","71","42","49",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-12",,,"0.00","0.0","0.0","76","47","52",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-13",,,"0.00","0.0","0.0","75","51","56",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-14",,,"0.00","0.0","0.0","82","55","57",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-15",,,"0.00","0.0","0.0","85","55","61",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-16",,,"0.00","0.0","0.0","84","61","67",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-17",,,"0.07","0.0","0.0","78","41","41",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-18",,,"0.00","0.0","0.0","61","36","36",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-19",,,"0.00","0.0","0.0","63","35","37",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-20",,,"0.00","0.0","0.0","65","37","45",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-21",,,"0.00","0.0","0.0","68","44","44",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-22",,,"0.01","0.0","0.0","71","43","50",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-23",,,"0.25","0.0","0.0","71","50","55",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-24",,,"0.55","0.0","0.0","64","55","58",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-25",,,"0.82","0.0","0.0","70","57","57",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-26",,,"0.71","0.0","0.0","58","49","49",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-27",,,"0.03","0.0","0.0","60","46","46",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-28",,,"0.05","0.0","0.0","60","33","33",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-29",,,"0.00","0.0","0.0","65","33","47",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-04-30",,,"0.00","0.0","0.0","75","47","64",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-01",,,"0.75","0.0","0.0","79","62","63",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-02",,,"0.55","0.0","0.0","70","62","65",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-03",,,"0.20","0.0","0.0","73","56","56",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-04",,,"0.20","0.0","0.0","77","53","53",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-05",,,"0.01","0.0","0.0","78","53","58",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-06",,,"0.05","0.0","0.0","83","50","50",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-07",,,"0.00","0.0","0.0","74","50","61",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-08",,,"0.19","0.0","0.0","82","46","46",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-09",,,"0.00","0.0","0.0","53","36","36",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-10",,,"0.00","0.0","0.0","59","36","42",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-11",,,"0.80","0.0","0.0","64","42","53",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-12",,,"0.00","0.0","0.0","78","53","60",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-13",,,"0.57","0.0","0.0","77","56","66",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-14",,,"0.25","0.0","0.0","88","62","63",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-15",,,"0.00","0.0","0.0","72","51","52",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-16",,,"0.36","0.0","0.0","67","51","57",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-17",,,"0.02","0.0","0.0","63","54","54",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-18",,,"1.11","0.0","0.0","56","53","53",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-19",,,"0.02","0.0","0.0","58","53","53",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-20",,,"0.00","0.0","0.0","63","52","53",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-21",,,"0.69","0.0","0.0","66","52","61",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-22",,,"0.13","0.0","0.0","71","58","60",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-23",,,"0.00","0.0","0.0","78","60","61",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-24",,,"0.00","0.0","0.0","88","61","70",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-25",,,"0.00","0.0","0.0","86","66","66",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-26",,,"0.00","0.0","0.0","85","66","67",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-27",,,"0.00","0.0","0.0","86","67","67",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-28",,,"0.37","0.0","0.0","87","58","58",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-29",,,"0.00","0.0","0.0","83","58","64",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-30",,,"0.00","0.0","0.0","86","63","67",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-05-31",,,"0.00","0.0","0.0","87","66","70",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-06-01",,,"0.48","0.0","0.0","84","63","63",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-06-02",,,"0.00","0.0","0.0","84","63","70",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-06-03",,,"0.95","0.0","0.0","85","64","66",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-06-04",,,"0.05","0.0","0.0","83","66","68",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-06-05",,,"0.00","0.0","0.0","87","67","74",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-06-06",,,"0.00","0.0","0.0","87","74","75",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-06-07",,,"0.00","0.0","0.0","77","58","58",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-06-08",,,"0.00","0.0","0.0","77","58","65",,,,,,
